author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
ID 108172779,real_estate_agent,https://www.cian.ru/sale/flat/301496936/,Москва,sale,flat,7,8,1,53.2,58786000,Таганский,Славянская площадь,2/5с1,Китай-город,LUMIN
Мир Недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/301203572/,Москва,sale,flat,8,17,1,37.6,11900000,Марьино, Маршала Голованова,13,Марьино,
Оксана Дармаева,realtor,https://www.cian.ru/sale/flat/303417486/,Москва,sale,flat,3,16,1,38.2,12700000,Нагатино-Садовники,Варшавское шоссе,51К3,Нагатинская,
ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/303486795/,Москва,sale,flat,16,16,1,41.0,11000000,Выхино-Жулебино,Тарханская ,6,Жулебино,
ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/303485576/,Москва,sale,flat,7,14,1,38.0,13000000,Нагатинский затон,Судостроительная ,57,Нагатинский Затон,
Кремлёвские Ключи,real_estate_agent,https://www.cian.ru/sale/flat/301136222/,Москва,sale,flat,2,6,1,9.6,2990000,Северное Измайлово,Сиреневый бульвар,15,Щёлковская,
ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/303484883/,Москва,sale,flat,8,9,1,31.7,15600000,Проспект Вернадского, Лобачевского,46,Проспект Вернадского,
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/302544975/,Москва,sale,flat,19,41,1,47.6,42000000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/302287785/,Москва,sale,flat,4,16,1,36.6,9400000,Ярославский,Ярославское шоссе,114К2,ВДНХ,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/302967733/,Москва,sale,flat,10,12,1,49.0,10500000,, Липовый Парк,4к1,Коммунарка,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298213083/,Москва,sale,flat,2,3,1,41.8,8400000,, Андерсена,14к1,Коммунарка,Андерсен
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/302621872/,Москва,sale,flat,1,12,1,40.8,6150000,, Труда,9к1,Кокошкино,
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/302405358/,Москва,sale,flat,15,23,1,34.3,9000000,, Бачуринская,9Ак2,Коммунарка,Новая Звезда
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/303071841/,Москва,sale,flat,19,32,1,32.2,25000000,Пресненский,Шмитовский проезд,39к2,Шелепиха,Headliner
ID 115476548,homeowner,https://www.cian.ru/sale/flat/300974741/,Москва,sale,flat,7,12,1,46.0,13700000,Филевский парк,Филевский бульвар,8к1,Шелепиха,
ЛИДЕР Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/302153674/,Москва,sale,flat,9,41,1,40.4,31990000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/302203106/,Москва,sale,flat,8,19,1,30.8,20750000,Беговой,Ленинградский проспект,29к3,Динамо,Царская площадь
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/303129107/,Москва,sale,flat,5,19,1,35.3,11200000,Солнцево,Производственная ,10к2,Солнцево,Лучи
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301782648/,Москва,sale,flat,10,21,1,65.0,65000000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303103025/,Москва,sale,flat,37,37,1,48.0,42000000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Ирина Свирепова,realtor,https://www.cian.ru/sale/flat/302815923/,Москва,sale,flat,2,3,1,36.0,5000000,, Десятинная,23,Апрелевка,Борисоглебское
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/299330003/,Москва,sale,flat,63,66,1,86.0,96000000,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/303465900/,Москва,sale,flat,10,12,1,35.0,9800000,Перово, Плеханова,16К1,Перово,
Никита Гаврилов,realtor,https://www.cian.ru/sale/flat/303357018/,Москва,sale,flat,3,9,1,33.0,11200000,Печатники,Шоссейная ,2к2,Печатники,
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/300413747/,Москва,sale,flat,7,9,1,35.3,32900000,Пресненский,Мантулинская ,9к2,Деловой центр,City Park
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301165914/,Москва,sale,flat,7,24,1,49.0,21500000,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение,Wellton park
ID 15133648,homeowner,https://www.cian.ru/sale/flat/303047698/,Москва,sale,flat,3,9,1,30.0,10800000,Преображенское,Знаменская ,21,Преображенская площадь,
ESSE REAL ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/303254938/,Москва,sale,flat,9,9,1,33.0,11300000,Северное Медведково,Студеный проезд,32К1,Медведково,
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299890518/,Москва,sale,flat,9,40,1,41.5,32000000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Екатерина Боброва,realtor,https://www.cian.ru/sale/flat/301837625/,Москва,sale,flat,7,12,1,35.0,10300000,Лучшая просторная 1 к.кв. в е!1-комн. квартира,35 м²,,,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301362196/,Москва,sale,flat,3,15,1,65.0,61000000,Раменки,Мосфильмовская ,31А,Ломоносовский проспект,KING & SONS
ID 74595537,unknown,https://www.cian.ru/sale/flat/302212006/,Москва,sale,flat,12,53,1,43.4,29980000,Пресненский,Шмитовский проезд,39к8,Москва-Сити,Headliner
СОВКОМБАНК,official_representative,https://www.cian.ru/sale/flat/297233032/,Москва,sale,flat,12,12,1,39.0,9750000,Гольяново,Уральская ,1,Щёлковская,
Авеню-Мск,real_estate_agent,https://www.cian.ru/sale/flat/298729230/,Москва,sale,flat,6,23,1,38.0,12500000,Крылатское,Рублевское шоссе,44К1,Крылатское,
ID 12425368,homeowner,https://www.cian.ru/sale/flat/302636665/,Москва,sale,flat,3,9,1,34.6,14100000,Фили-Давыдково,Большая Филевская ,43,Филёвский парк,
Лофт Инвест,real_estate_agent,https://www.cian.ru/sale/flat/299893948/,Москва,sale,flat,5,16,1,38.9,11590000,Отрадное,Алтуфьевское шоссе,2,Владыкино,
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/299723346/,Москва,sale,flat,63,66,1,86.0,90000000,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/301775124/,Москва,sale,flat,8,41,1,41.0,34000000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
Novel Estates,real_estate_agent,https://www.cian.ru/sale/flat/302607652/,Москва,sale,flat,56,65,1,48.0,57480000,Пресненский,Краснопресненская набережная,14Ак2,Москва-Сити,Capital Towers
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301042655/,Москва,sale,flat,37,79,1,78.0,80000000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/299203876/,Москва,sale,flat,2,10,1,35.0,13100000,Ростокино,проспект Мира,188Бк2,Ростокино,Триколор
Prime,real_estate_agent,https://www.cian.ru/sale/flat/300885088/,Москва,sale,flat,2,8,1,49.0,74000000,Якиманка,Софийская набережная,34,Новокузнецкая,Софийский
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299525111/,Москва,sale,flat,2,3,1,44.7,8600000,, Николинские Ключи,30,Крёкшино,Ново-Никольское
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/303527409/,Москва,sale,flat,3,18,1,30.6,10500000,Щукино,Большой Волоколамский проезд,23,Стрешнево,Комплекс апартаментов B’aires
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/302591225/,Москва,sale,flat,9,28,1,34.7,14700000,Богородское,Открытое шоссе,14Д,Бульвар Рокоссовского,Талисман на Рокоссовского
Екатерина Боброва,realtor,https://www.cian.ru/sale/flat/303375655/,Москва,sale,flat,10,12,1,38.0,15550000,КРАСИВАЯ квартира в шикарном е1-комн. квартира,38 м²,,,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/301224949/,Москва,sale,flat,1,9,1,29.5,8300000,Можайский, Багрицкого,22,Кунцевская,
OPN PARTNER,real_estate_agent,https://www.cian.ru/sale/flat/301562643/,Москва,sale,flat,3,5,1,30.0,8390000,, Жемчужная,1к11,Филатов Луг,Марьино Град
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298065569/,Москва,sale,flat,8,12,1,34.9,8800000,Дмитровский,Клязьминская ,4,Грачёвская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/301129606/,Москва,sale,flat,1,5,1,17.9,9000000,Соколиная гора,проспект Буденного,24К3,Сортировочная,
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/303476158/,Москва,sale,flat,16,17,1,38.2,9400000,Орехово-Борисово Южное,Гурьевский проезд,31К2,Зябликово,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298520114/,Москва,sale,flat,9,12,1,39.0,9470000,Марьино,Донецкая ,19,Курьяново,
